YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1987,1,10222,3,1,1,1,2,2,3,4,2,3,1976,2,2
1987,1,10223,1,2,2,2,1,1,3,4,1,3,1987,2,2
1987,1,10224,1,2,2,2,2,2,3,4,2,3,1986,2,2
1987,1,10225,1,2,2,2,1,1,3,4,2,3,1975,2,2
1987,1,10226,1,2,2,2,3,3,3,4,2,3,9999,2,2
1987,1,10227,1,2,2,2,1,1,3,4,2,3,1983,2,2
1987,1,10228,1,2,2,2,1,1,3,4,1,3,1984,2,2
1987,1,10229,1,5,5,1,1,1,3,4,2,3,1983,2,2
1987,1,10230,1,2,2,2,2,2,3,4,1,3,1983,2,2
1987,2,10230,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,3,10230,1,2,2,2,1,1,3,4,2,3,1979,2,2
1987,4,10230,3,4,4,2,1,1,3,4,2,3,1984,2,2
1987,1,10231,1,2,2,2,1,1,3,4,1,3,1986,2,2
1987,2,10231,1,2,2,2,1,1,3,4,2,3,1973,2,2
1987,3,10231,2,5,5,2,1,1,3,4,2,3,1981,2,2
1987,1,10232,2,5,5,2,1,1,3,4,2,3,1972,2,2
1987,2,10232,6,2,2,2,1,1,3,4,2,3,1981,2,2
1987,3,10232,6,2,2,2,1,1,3,4,2,3,1985,2,2
1987,1,10233,1,2,2,2,1,1,3,4,2,3,1976,2,2
1987,2,10233,1,5,5,2,1,1,3,4,2,3,1983,2,2
1987,1,10234,1,5,5,2,1,1,3,4,2,3,1971,2,2
1987,1,10235,2,2,2,2,1,1,3,4,2,3,1985,2,2
1987,2,10235,1,5,5,2,1,1,3,4,2,3,1985,2,2
1987,1,10236,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,2,10236,4,2,2,2,2,2,3,4,2,3,1978,2,2
1987,1,10237,4,2,2,2,2,2,3,4,2,3,1977,2,2
1987,1,10238,7,2,2,2,4,2,3,2,1,3,1982,2,2
1987,2,10238,1,2,2,2,2,2,3,4,2,3,1981,2,2
1987,1,10239,1,2,2,1,1,1,3,4,2,3,1965,2,2
1987,1,10240,1,1,1,1,1,1,3,4,2,3,1986,2,2
1987,1,10241,2,2,2,2,1,1,3,4,1,3,1980,2,2
