YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600018353,29.895221382,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600018356,29.895221382,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018357,146.52410486,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018358,215.218122,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018359,51.573654892,2,2,1,1,1,4,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600018393,130.17618946,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018404,129.82708256,3,2,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018407,146.52410486,3,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018414,215.218122,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018419,51.573654892,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600018423,215.218122,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,2,1
2016,201600018434,51.573654892,2,1,1,2,2,5,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018457,130.17618946,2,2,1,2,2,3,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018462,292.62224233,3,2,1,1,1,4,1,2,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018465,51.573654892,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018485,146.52410486,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018488,215.218122,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018497,146.52410486,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018498,130.17618946,2,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018504,215.218122,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018509,51.573654892,2,2,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018518,29.895221382,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018526,146.52410486,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
2016,201600018528,130.17618946,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018535,215.218122,3,2,1,1,1,2,2,1,3,1,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018545,146.52410486,3,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2016,201600018548,215.218122,3,2,1,1,1,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2016,201600018554,190.36350382,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1
2016,201600018567,540.79363666,3,2,1,1,1,4,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018569,341.53118408,3,2,1,2,2,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018572,20.890223637,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018576,540.79363666,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018582,31.455210339,2,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018587,31.455210339,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2
2016,201600018592,326.43196105,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018605,27.373814448,4,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018610,427.41720998,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018619,31.455210339,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018620,540.79363666,3,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018625,129.82708256,3,1,1,2,2,5,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018628,215.218122,3,2,4,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018632,29.895221382,2,1,1,2,2,5,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1
